[2025-10-04T12:08:51] [INFO] Game Logger initialized - Log file: logs/game_log_2025-10-04T12-08-51.log
[2025-10-04T12:08:51] [INFO] Log level updated to: 3
[2025-10-04T12:08:51] [INFO] SplashScreen: ===== SPLASH SCREEN STARTING =====
[2025-10-04T12:08:51] [INFO] SplashScreen: Animations setup complete
[2025-10-04T12:08:51] [INFO] SplashScreen: Starting splash sequence
[2025-10-04T12:08:55] [INFO] SplashScreen: Splash sequence completed
[2025-10-04T12:08:56] [INFO] SplashScreen: Fade out completed, transitioning to main menu
[2025-10-04T12:08:56] [INFO] SplashScreen: Transitioning to main menu: res://Scenes/MainMenu/MainMenu.tscn
[2025-10-04T12:08:56] [INFO] SplashScreen: Successfully transitioned to main menu
[2025-10-04T12:08:56] [INFO] 🚀 MainMenuController _ready() called
[2025-10-04T12:08:56] [INFO] ℹ️ Exit Game button signal already connected
[2025-10-04T12:08:56] [INFO] ✅ MainMenuController initialization completed
[2025-10-04T12:08:57] [DEBUG] [InputDebug] _input: mouse btn=1, pressed=true, is_in_game_scene=false, transitioning=false
[2025-10-04T12:09:13] [DEBUG] [InputDebug] _input: mouse btn=1, pressed=false, is_in_game_scene=false, transitioning=false
[2025-10-04T12:09:13] [DEBUG] [InputDebug] _input: mouse btn=1, pressed=true, is_in_game_scene=false, transitioning=false
[2025-10-04T12:09:13] [DEBUG] [InputDebug] _input: mouse btn=1, pressed=false, is_in_game_scene=false, transitioning=false
[2025-10-04T12:09:14] [DEBUG] [InputDebug] _input: mouse btn=1, pressed=true, is_in_game_scene=false, transitioning=false
[2025-10-04T12:09:14] [DEBUG] [InputDebug] _input: mouse btn=1, pressed=false, is_in_game_scene=false, transitioning=false
[2025-10-04T12:09:15] [DEBUG] [InputDebug] _input: mouse btn=1, pressed=true, is_in_game_scene=false, transitioning=false
[2025-10-04T12:09:15] [DEBUG] [InputDebug] _input: mouse btn=1, pressed=false, is_in_game_scene=false, transitioning=false
[2025-10-04T12:09:15] [DEBUG] [InputDebug] _input: mouse btn=1, pressed=true, is_in_game_scene=false, transitioning=false
[2025-10-04T12:09:15] [DEBUG] [InputDebug] _input: mouse btn=1, pressed=false, is_in_game_scene=false, transitioning=false
[2025-10-04T12:09:16] [DEBUG] [InputDebug] _input: mouse btn=1, pressed=true, is_in_game_scene=false, transitioning=false
[2025-10-04T12:09:16] [DEBUG] [InputDebug] _input: mouse btn=1, pressed=false, is_in_game_scene=false, transitioning=false
